#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-97.0,22,24.154379
-74.0,19,24.176321
16.0,9,24.187291
-107.0,22,24.212225
-76.0,21,24.236161
-11.0,16,24.254113
-20.0,15,24.272065
-4.0,9,24.283036
-90.0,25,24.311958
-118.0,23,24.339884
-98.0,23,24.364817
-87.0,22,24.391745
24.0,11,24.403713
-76.0,21,24.427649
-9.0,14,24.444603
-46.0,21,24.468539
-24.0,19,24.491478
15.0,10,24.502449
-5.0,10,24.514417
-7.0,12,24.529377
-99.0,24,24.5583
-63.0,18,24.580241
-55.0,20,24.604177
0.0,15,24.622129
-108.0,23,24.647062
-87.0,22,24.67399
-109.0,24,24.702913
-94.0,19,24.72286
-24.0,19,24.744801
-12.0,17,24.766742
-84.0,19,24.786689
-88.0,23,24.814614
16.0,9,24.825585
-107.0,22,24.849521
-46.0,21,24.873457
-24.0,19,24.896396
-16.0,11,24.908364
5.0,10,24.920331
-32.0,17,24.941275
-65.0,20,24.965211
2.0,13,24.979174
-77.0,22,25.006102
-54.0,19,25.029041
-130.0,25,25.057964
-130.0,25,25.086886
-34.0,19,25.10783
16.0,9,25.119798
-14.0,19,25.141739
-5.0,10,25.153708
-10.0,15,25.170662
-53.0,18,25.192604
-79.0,24,25.218534
-98.0,23,25.24646
-44.0,19,25.268401
-119.0,24,25.296326
-32.0,17,25.315276
-19.0,14,25.33223
-98.0,23,25.357164
-66.0,21,25.383094
-86.0,21,25.40703
-76.0,21,25.430966
-12.0,17,25.449915
-11.0,16,25.469862
-77.0,22,25.494796
-12.0,17,25.512748
-62.0,17,25.534689
-31.0,16,25.552641
-7.0,12,25.565606
-21.0,16,25.585553
-31.0,16,25.603505
-63.0,18,25.623452
-18.0,13,25.639409
-17.0,12,25.652374
-56.0,21,25.679302
-25.0,20,25.702241
9.0,16,25.720193
-130.0,25,25.756096
-64.0,19,25.794993
29.0,6,25.806961
-11.0,16,25.824913
-11.0,16,25.843862
-93.0,18,25.866801
-49.0,24,25.895724
-140.0,25,25.924646
-55.0,20,25.948582
-99.0,24,25.974513
-32.0,17,25.996454
-19.0,14,26.013409
-25.0,20,26.036347
-64.0,19,26.057292
-65.0,20,26.08023
-65.0,20,26.103169
14.0,11,26.118129
-97.0,22,26.143062
23.0,12,26.156028
-130.0,25,26.18495
4.0,11,26.19991
-89.0,24,26.226838
-28.0,13,26.242796
-9.0,14,26.258753
-45.0,20,26.282689
-149.0,24,26.310614
-150.0,25,26.339537
29.0,6,26.346518
-65.0,20,26.369457
-70.0,25,26.39838
-88.0,23,26.423313
-11.0,16,26.443259
-21.0,16,26.461211
-21.0,16,26.479163
-76.0,21,26.503099
16.0,9,26.51407
-67.0,22,26.539003
-97.0,22,26.565932
-110.0,25,26.594854
-43.0,18,26.613804
-31.0,16,26.634748
-84.0,19,26.654694
-45.0,20,26.677633
-45.0,20,26.700572
-8.0,13,26.717526
-88.0,23,26.745452
-54.0,19,26.766396
-40.0,15,26.784348
6.0,9,26.795318
4.0,11,26.808284
-90.0,25,26.837206
18.0,7,26.84718
-97.0,22,26.872113
-56.0,21,26.896049
-100.0,25,26.924972
-16.0,11,26.939932
-17.0,12,26.952897
28.0,7,26.959878
-73.0,18,26.981819
21.0,4,26.986806
-79.0,24,27.014732
-120.0,25,27.044652
15.0,10,27.05662
16.0,9,27.064598
-14.0,19,27.087537
-24.0,19,27.109478
-44.0,19,27.132417
-130.0,25,27.162337
-24.0,19,27.184278
-140.0,25,27.213201
-61.0,16,27.231153
7.0,8,27.239131
-67.0,22,27.26606
-5.0,10,27.278028
-44.0,19,27.299969
-43.0,18,27.318918
-87.0,22,27.346844
24.0,11,27.358812
-42.0,17,27.377761
-53.0,18,27.398705
7.0,8,27.406684
-57.0,22,27.434609
7.0,8,27.442588
9.0,16,27.462534
-42.0,17,27.481484
-67.0,22,27.505419
14.0,11,27.52038
-120.0,25,27.5503
-64.0,19,27.570246
-39.0,14,27.587201
-78.0,23,27.614129
6.0,9,27.6251
-20.0,15,27.643052
-86.0,21,27.667985
-43.0,18,27.686934
-20.0,15,27.704887
-40.0,15,27.721841
-88.0,23,27.750764
-41.0,16,27.768716
-67.0,22,27.795644
-89.0,24,27.821574
-30.0,15,27.839526
-43.0,18,27.861467
-78.0,23,27.889393
-11.0,16,27.907345
-63.0,18,27.926294
6.0,9,27.937265
17.0,8,27.948236
-4.0,9,27.959206
1.0,14,27.973169
13.0,12,27.988129
-34.0,19,28.011068
0.0,15,28.02902
-115.0,20,28.051958
-45.0,20,28.074897
-21.0,16,28.092849
-108.0,23,28.117782
1.0,14,28.135734
25.0,10,28.147702
-52.0,17,28.168647
-54.0,19,28.188593
-75.0,20,28.211532
-63.0,18,28.233473
-41.0,16,28.252423
20.0,5,28.257409
-139.0,24,28.286331
-109.0,24,28.314257
-120.0,25,28.34318
-11.0,16,28.361132
-57.0,22,28.386065
-52.0,17,28.407009
2.0,13,28.419974
-129.0,24,28.448897
-8.0,13,28.464855
-86.0,21,28.48879
-80.0,25,28.517713
-23.0,18,28.539654
13.0,12,28.551622
-95.0,20,28.575558
-51.0,16,28.59351
-79.0,24,28.621436
-110.0,25,28.651356
3.0,12,28.664321
-31.0,16,28.685265
-67.0,22,28.709201
13.0,12,28.722166
3.0,12,28.737127
-85.0,20,28.761062
-32.0,17,28.780012
17.0,8,28.789985
-23.0,18,28.808934
2.0,13,28.824892
-79.0,24,28.853814
-8.0,13,28.86678
-43.0,18,28.888721
-74.0,19,28.911659
-108.0,23,28.936593
-62.0,17,28.957537
-35.0,20,28.980475
4.0,11,28.999425
-87.0,22,29.024358
-99.0,24,29.053281
14.0,11,29.065249
-20.0,15,29.082204
-110.0,25,29.112123
10.0,5,29.118108
-31.0,16,29.138054
-139.0,24,29.163985
-119.0,24,29.19191
-12.0,17,29.213852
-23.0,18,29.232801
-87.0,22,29.260726
-99.0,24,29.286657
-76.0,21,29.314583
-120.0,25,29.344503
-44.0,19,29.366444
27.0,8,29.377414
-99.0,24,29.421341
-33.0,18,29.44028
3.0,12,29.455238
-24.0,19,29.478177
27.0,8,29.48712
-97.0,22,29.515079
-107.0,22,29.541008
-45.0,20,29.565942
-6.0,11,29.577911
-66.0,21,29.60384
-40.0,15,29.621799
-77.0,22,29.650682
-76.0,21,29.674618
-54.0,19,29.69656
27.0,8,29.704538
1.0,14,29.721493
24.0,11,29.733461
-4.0,19,29.760389
0.0,15,29.778341
-54.0,19,29.80128
-75.0,20,29.82422
-44.0,19,29.847158
-79.0,24,29.877079
-78.0,23,29.902012
-77.0,22,29.92894
-55.0,20,29.952876
-76.0,21,29.976812
-21.0,16,29.995761
-99.0,24,30.025681
-65.0,20,30.050614
-82.0,17,30.069564
-22.0,17,30.092502
4.0,11,30.105468
-29.0,14,30.122423
-64.0,19,30.143367
-110.0,25,30.173286
-68.0,23,30.202209
15.0,10,30.214177
-65.0,20,30.238113
-22.0,17,30.25806
14.0,11,30.27302
-40.0,15,30.290972
-63.0,18,30.310919
-53.0,18,30.33286
-52.0,17,30.351822
-22.0,17,30.373751
-90.0,25,30.402673
-117.0,22,30.428604
-79.0,24,30.456529
-130.0,25,30.486449
24.0,11,30.499414
-20.0,15,30.516369
16.0,9,30.52734
-62.0,17,30.546289
-67.0,22,30.574214
-103.0,18,30.594161
4.0,11,30.606129
-40.0,15,30.624081
-32.0,17,30.645025
-43.0,18,30.664972
-17.0,12,30.679932
-43.0,18,30.699878
-108.0,23,30.727804
-109.0,24,30.756727
-89.0,24,30.785649
3.0,12,30.798615
-110.0,25,30.828536
30.0,5,30.834519
-128.0,23,30.864439
-44.0,19,30.885382
-90.0,25,30.914305
-129.0,24,30.943228
4.0,11,30.956193
-160.0,25,30.985116
-98.0,23,31.013041
-78.0,23,31.039969
-10.0,15,31.057921
-24.0,19,31.077868
-22.0,17,31.099809
-99.0,24,31.127735
-43.0,18,31.149711
14.0,11,31.161643
-2.0,17,31.182621
-139.0,24,31.207554
-109.0,24,31.231489
-120.0,25,31.25742
-97.0,22,31.282353
-45.0,20,31.304295
-1.0,16,31.320252
-57.0,22,31.34316
-40.0,15,31.360146
-16.0,11,31.374109
-54.0,19,31.393058
3.0,12,31.407023
8.0,7,31.414002
-67.0,22,31.438941
5.0,10,31.449905
-6.0,11,31.461879
13.0,12,31.473842
-24.0,19,31.494786
-42.0,17,31.512738
-1.0,6,31.521716
-89.0,24,31.54565
-46.0,21,31.570584
-97.0,22,31.593522
-31.0,16,31.610444
-31.0,16,31.626401
-61.0,16,31.64535
19.0,6,31.652349
-57.0,22,31.67527
-56.0,21,31.699206
-21.0,16,31.719153
-46.0,21,31.743089
-65.0,20,31.767025
-2.0,17,31.784977
-76.0,21,31.808913
-140.0,25,31.839831
-127.0,22,31.867756
-10.0,15,31.884711
-32.0,17,31.904657
-23.0,18,31.927596
-119.0,24,31.957515
-88.0,23,31.982449
16.0,9,31.99342
-20.0,15,32.011372
-66.0,21,32.035308
-35.0,20,32.058246
-36.0,21,32.082182
-97.0,22,32.110108
10.0,5,32.116092
-63.0,18,32.135041
-120.0,25,32.164961
-73.0,18,32.1879
-16.0,11,32.200865
1.0,14,32.21782
29.0,6,32.223804
-69.0,24,32.252761
-67.0,22,32.275697
-41.0,16,32.295645
-88.0,23,32.317585
13.0,12,32.331548
-74.0,19,32.349467
0.0,15,32.365458
-53.0,18,32.386402
-68.0,23,32.411339
-42.0,17,32.429287
-53.0,18,32.449234
-7.0,12,32.461201
28.0,7,32.468183
4.0,11,32.482146
-71.0,16,32.499101
3.0,12,32.511035
-8.0,13,32.526028
-53.0,18,32.543982
-32.0,17,32.563927
25.0,10,32.574898
19.0,6,32.580889
-69.0,24,32.607776
-42.0,17,32.624764
1.0,14,32.640722
-74.0,19,32.661666
-41.0,16,32.67862
-31.0,16,32.69558
-79.0,24,32.722504
-78.0,23,32.750427
-38.0,13,32.763394
-10.0,15,32.779351
-68.0,23,32.805286
-88.0,23,32.829218
22.0,13,32.844177
-8.0,13,32.860103
-100.0,25,32.887064
18.0,7,32.894044
-88.0,23,32.919975
-24.0,9,32.927959
-25.0,20,32.949895
-108.0,23,32.975826
-109.0,24,33.00272
-90.0,25,33.029681
-10.0,15,33.046638
-110.0,25,33.073575
-54.0,19,33.09451
-22.0,17,33.112461
-55.0,20,33.13438
3.0,12,33.147366
-129.0,24,33.173297
-78.0,23,33.200232
-63.0,18,33.218178
-87.0,22,33.243078
-19.0,14,33.259069
-88.0,23,33.283004
-53.0,18,33.302928
-88.0,23,33.326887
-9.0,14,33.342845
-19.0,14,33.357806
-56.0,21,33.380744
2.0,13,33.395702
-99.0,24,33.42363
-108.0,23,33.44657
7.0,8,33.456542
-87.0,22,33.47948
-18.0,13,33.495435
-16.0,11,33.506429
-96.0,21,33.529345
-77.0,22,33.556274
-79.0,24,33.580209
-19.0,14,33.596167
-23.0,18,33.617111
-99.0,24,33.644056
4.0,11,33.655974
-37.0,12,33.668974
-120.0,25,33.695867
-75.0,20,33.717842
-138.0,23,33.74477
16.0,9,33.754743
-87.0,22,33.777682
-76.0,21,33.80062
-80.0,25,33.840513
11.0,14,33.855474
29.0,6,33.861457
7.0,8,33.870452
-7.0,12,33.881405
-95.0,20,33.902314
5.0,10,33.912287
-107.0,22,33.936223
-48.0,23,33.959162
0.0,15,33.976117
-10.0,15,33.992074
-42.0,17,34.013018
-12.0,17,34.031004
30.0,5,34.035993
-23.0,18,34.05494
-110.0,25,34.080873
0.0,15,34.095832
-67.0,22,34.11877
-14.0,19,34.139715
28.0,7,34.145663
-80.0,25,34.173623
-12.0,17,34.19755
-129.0,24,34.221495
-48.0,23,34.246429
-39.0,14,34.261354
-100.0,25,34.288316
14.0,11,34.299288
-1.0,6,34.305271
15.0,10,34.316208
-14.0,19,34.337151
8.0,17,34.354149
-61.0,16,34.373089
-33.0,18,34.391041
-10.0,15,34.406999
-64.0,19,34.427943
-30.0,15,34.4439
25.0,10,34.454846
14.0,11,34.465842
-12.0,17,34.48579
-55.0,20,34.506734
-51.0,16,34.523653
-67.0,22,34.546627
26.0,9,34.556599
-95.0,20,34.578542
-55.0,20,34.599484
-20.0,15,34.615443
-31.0,16,34.632363
-22.0,17,34.651362
-14.0,9,34.659291
-23.0,18,34.680235
17.0,8,34.690208
-41.0,16,34.708194
-87.0,22,34.73409
-45.0,20,34.75703
-140.0,25,34.782993
-86.0,21,34.803937
-110.0,25,34.829868
-95.0,20,34.850812
-55.0,20,34.87475
13.0,12,34.890707
-100.0,25,34.918597
-88.0,23,34.941568
-85.0,20,34.96248
29.0,6,34.970491
-9.0,14,34.983439
19.0,6,34.991436
-44.0,19,35.009354
-87.0,22,35.03329
-56.0,21,35.055232
9.0,6,35.061215
-33.0,18,35.08216
-40.0,15,35.099114
-5.0,10,35.110085
-73.0,18,35.130031
-87.0,22,35.15696
-150.0,25,35.185882
4.0,11,35.19785
-32.0,17,35.215802
-98.0,23,35.243728
-26.0,11,35.255696
-75.0,20,35.279632
-15.0,10,35.290602
-52.0,17,35.311546
17.0,8,35.320522
-98.0,23,35.34745
-3.0,8,35.355429
-69.0,14,35.372384
-3.0,8,35.382357
-21.0,16,35.400309
-110.0,25,35.429231
-32.0,17,35.448181
17.0,8,35.459152
-29.0,14,35.477105
13.0,12,35.490071
-88.0,23,35.518993
-10.0,15,35.536945
6.0,9,35.548913
-23.0,18,35.567863
-49.0,14,35.585815
-12.0,17,35.604764
-17.0,12,35.620754
-34.0,19,35.641697
-45.0,20,35.663604
9.0,6,35.670619
-16.0,11,35.682589
-11.0,16,35.700539
-44.0,19,35.723477
-119.0,24,35.75339
-20.0,15,35.771351
1.0,14,35.789281
-17.0,12,35.802269
-23.0,8,35.813244
-109.0,24,35.840173
-8.0,13,35.856115
-120.0,25,35.887032
16.0,9,35.898976
-85.0,20,35.923908
-78.0,23,35.950864
25.0,10,35.962842
-40.0,15,35.981755
-53.0,18,36.004732
-77.0,22,36.02966
-92.0,17,36.051601
1.0,14,36.067559
1.0,14,36.080524
-54.0,19,36.100476
-20.0,15,36.11543
-79.0,24,36.140365
-61.0,16,36.15732
-7.0,12,36.171281
-71.0,16,36.187256
18.0,7,36.193224
-46.0,21,36.215164
-21.0,16,36.234114
26.0,9,36.242092
1.0,14,36.257052
-87.0,22,36.283981
-11.0,16,36.301934
8.0,7,36.308914
-109.0,24,36.337841
2.0,13,36.3538
-54.0,19,36.374738
-20.0,15,36.392656
-58.0,23,36.420615
-85.0,20,36.444555
-42.0,17,36.4635
-40.0,15,36.481451
2.0,13,36.498374
-73.0,18,36.521346
-98.0,23,36.547244
-97.0,22,36.575214
25.0,10,36.587183
-130.0,25,36.619052
19.0,6,36.626033
-37.0,12,36.638001
-87.0,22,36.662934
-33.0,18,36.680887
-63.0,18,36.702828
-75.0,20,36.724769
-88.0,23,36.749702
-34.0,19,36.772641
14.0,11,36.784609
28.0,7,36.794583
-88.0,23,36.819516
-62.0,17,36.84046
-78.0,23,36.865393
-52.0,17,36.887335
-17.0,12,36.9003
-29.0,14,36.917255
-95.0,20,36.940193
-36.0,21,36.964129
26.0,9,36.9751
-88.0,23,37.003025
27.0,8,37.011004
-32.0,17,37.032945
-62.0,17,37.051895
4.0,11,37.06486
2.0,13,37.080817
-44.0,19,37.104753
-46.0,21,37.12869
-7.0,12,37.141655
-78.0,23,37.170577
13.0,12,37.18454
4.0,11,37.197506
-51.0,16,37.219447
-43.0,18,37.240391
15.0,10,37.252358
-45.0,20,37.276295
-44.0,19,37.298236
-110.0,25,37.327159
-119.0,24,37.356081
6.0,9,37.367052
9.0,16,37.385004
-76.0,21,37.40894
-56.0,21,37.432876
-109.0,24,37.460801
-89.0,24,37.489724
-40.0,15,37.507676
-33.0,18,37.526626
-15.0,10,37.538593
-17.0,12,37.554551
-3.0,18,37.574497
-64.0,19,37.598433
-119.0,24,37.627356
-52.0,17,37.647303
-47.0,12,37.66326
-80.0,25,37.694178
-10.0,15,37.712129
-65.0,20,37.736065
-87.0,22,37.762994
-68.0,23,37.791917
-46.0,21,37.816849
-77.0,22,37.841783
-57.0,22,37.869708
25.0,10,37.881676
9.0,6,37.88766
-42.0,17,37.906609
-29.0,14,37.923564
-66.0,21,37.9475
-64.0,19,37.970438
-73.0,18,37.99238
-31.0,16,38.010332
-39.0,14,38.028284
1.0,14,38.045238
-119.0,24,38.071169
19.0,6,38.080145
-54.0,19,38.100092
-66.0,21,38.12702
-105.0,20,38.150956
-76.0,21,38.174892
-108.0,23,38.200823
-53.0,18,38.223761
8.0,7,38.230743
-11.0,16,38.251687
13.0,12,38.266647
-62.0,17,38.287591
-19.0,14,38.305543
-114.0,19,38.328481
-125.0,20,38.353415
30.0,5,38.359399
4.0,11,38.372364
28.0,7,38.382337
-67.0,22,38.409266
-68.0,23,38.438188
-66.0,21,38.463121
-13.0,18,38.482071
-36.0,21,38.509996
-75.0,20,38.533932
-15.0,10,38.5459
-3.0,8,38.553879
20.0,5,38.559863
-86.0,21,38.584796
-29.0,14,38.601751
-54.0,19,38.62469
-88.0,23,38.653612
-42.0,17,38.672561
-61.0,16,38.690513
-42.0,17,38.712455
24.0,11,38.72542
1.0,14,38.743371
-47.0,22,38.7703
3.0,12,38.783266
16.0,9,38.795233
-57.0,22,38.822161
-9.0,14,38.837122
-10.0,15,38.855073
-11.0,16,38.876018
-57.0,22,38.900951
-129.0,24,38.928876
-72.0,17,38.947825
-19.0,14,38.96478
-12.0,17,38.983729
3.0,12,38.999687
-16.0,11,39.011655
6.0,9,39.023623
-21.0,16,39.041575
-22.0,17,39.060524
-43.0,18,39.083463
-75.0,20,39.107399
-97.0,22,39.133329
-7.0,12,39.149287
-11.0,16,39.168236
-55.0,20,39.192172
0.0,15,39.210124
-40.0,15,39.228076
4.0,11,39.240044
0.0,15,39.257996
-21.0,16,39.276945
12.0,13,39.292902
-51.0,16,39.310855
-7.0,12,39.326812
-33.0,18,39.345761
-108.0,23,39.373687
-138.0,23,39.399615
-32.0,17,39.421559
-64.0,19,39.444498
-79.0,14,39.45846
-78.0,23,39.486385
-28.0,13,39.502343
-107.0,22,39.528274
-107.0,22,39.552209
-65.0,20,39.576145
2.0,13,39.593102
-1.0,16,39.61205
-85.0,20,39.635985
-36.0,21,39.661916
-78.0,23,39.690839
-43.0,18,39.71278
-45.0,20,39.738711
29.0,6,39.745692
-62.0,17,39.764642
-42.0,17,39.785585
-67.0,22,39.810519
-65.0,20,39.833457
-76.0,21,39.857394
-108.0,23,39.885319
28.0,7,39.893297
-17.0,12,39.908257
-16.0,11,39.921223
-59.0,24,39.949148
-55.0,20,39.972087
-7.0,12,39.985052
-76.0,21,40.008988
-34.0,19,40.031927
-45.0,20,40.054865
31.0,4,40.060849
-79.0,24,40.088775
-53.0,18,40.107724
-119.0,24,40.136647
-129.0,24,40.16557
14.0,11,40.177538
-8.0,13,40.193495
16.0,9,40.202471
28.0,7,40.212444
-55.0,20,40.23638
-77.0,22,40.262311
26.0,9,40.272284
-78.0,23,40.30021
30.0,5,40.306194
-4.0,9,40.315169
25.0,10,40.32614
-10.0,15,40.344092
28.0,7,40.354065
-43.0,18,40.373015
-120.0,25,40.402935
-97.0,22,40.429863
-33.0,18,40.449809
6.0,9,40.46078
-99.0,24,40.488705
-75.0,20,40.512641
-43.0,18,40.534583
-43.0,18,40.553532
-86.0,21,40.577468
13.0,12,40.593425
-61.0,16,40.611378
-35.0,20,40.634316
-22.0,17,40.653265
-88.0,23,40.681191
-17.0,12,40.694156
-75.0,20,40.717095
-76.0,21,40.744023
-88.0,23,40.768956
-63.0,18,40.791895
-34.0,19,40.814833
-55.0,20,40.837772
6.0,9,40.845751
-7.0,12,40.861708
-31.0,16,40.882652
-58.0,23,40.910578
-67.0,22,40.935511
-42.0,17,40.95446
27.0,8,40.964433
-62.0,17,40.983383
5.0,10,40.995351
-88.0,23,41.023276
-16.0,11,41.035244
-21.0,16,41.053196
-57.0,22,41.081122
-34.0,19,41.10406
-34.0,19,41.124007
-62.0,17,41.144951
-129.0,24,41.173873
-55.0,20,41.196812
-64.0,19,41.216759
-92.0,17,41.2387
-6.0,11,41.250668
-88.0,23,41.278594
-74.0,19,41.29854
-30.0,15,41.316492
-50.0,15,41.333447
-41.0,16,41.354391
-77.0,22,41.379324
-130.0,25,41.408247
-54.0,19,41.431185
3.0,12,41.444151
-140.0,25,41.473073
-32.0,17,41.495015
-84.0,19,41.514961
5.0,10,41.525932
-10.0,15,41.543884
24.0,11,41.558844
-10.0,15,41.575799
-83.0,18,41.595745
-39.0,14,41.6127
-18.0,13,41.628658
-51.0,16,41.64661
19.0,6,41.653591
-44.0,19,41.676529
-55.0,20,41.700465
-114.0,19,41.723404
-28.0,13,41.737367
-90.0,25,41.766288
-95.0,20,41.788229
-41.0,16,41.807178
-67.0,22,41.834107
-59.0,24,41.863029
-35.0,20,41.885968
-23.0,18,41.904917
-54.0,19,41.926859
-47.0,22,41.951805
24.0,11,41.966752
-30.0,15,41.983707
5.0,10,41.995675
-20.0,15,42.012629
-21.0,16,42.030581
-31.0,16,42.048533
-66.0,21,42.072469
-159.0,24,42.101392
5.0,10,42.112362
25.0,10,42.12433
-20.0,15,42.141285
14.0,11,42.153253
-51.0,16,42.172203
-139.0,24,42.200128
-75.0,20,42.223066
-26.0,11,42.235035
-7.0,12,42.249996
-78.0,23,42.274928
-30.0,15,42.291883
-75.0,20,42.314821
-80.0,25,42.342747
-29.0,14,42.359701
-66.0,21,42.383637
-24.0,19,42.405579
-2.0,17,42.426523
-97.0,22,42.450459
3.0,12,42.463424
-44.0,19,42.485365
2.0,13,42.50232
-96.0,21,42.526256
1.0,14,42.542213
-64.0,19,42.565152
-75.0,20,42.587093
-47.0,22,42.612027
1.0,14,42.627984
-130.0,25,42.656907
-6.0,11,42.669872
-87.0,22,42.693808
-64.0,19,42.715749
-43.0,18,42.737691
-12.0,17,42.760629
-99.0,24,42.788555
25.0,10,42.800523
-84.0,19,42.822464
-17.0,12,42.835429
32.0,3,42.840416
-35.0,20,42.863355
-99.0,24,42.89128
-57.0,22,42.916213
-28.0,13,42.932171
-64.0,19,42.95112
-87.0,22,42.978048
2.0,13,42.991013
-24.0,19,43.013952
-9.0,14,43.029909
-100.0,25,43.058841
-16.0,11,43.069837
-55.0,20,43.089787
20.0,5,43.095741
-76.0,21,43.115716
-6.0,11,43.129644
-15.0,20,43.150588
-57.0,22,43.174524
-44.0,19,43.196465
15.0,10,43.208433
-6.0,11,43.220402
-54.0,19,43.243374
-140.0,25,43.269304
-41.0,16,43.286258
-15.0,20,43.307203
15.0,10,43.318173
18.0,7,43.325153
-10.0,15,43.341111
-74.0,19,43.361024
-76.0,21,43.38198
-32.0,17,43.400952
-119.0,24,43.426883
-74.0,19,43.444834
-19.0,14,43.459794
-148.0,23,43.485727
-40.0,15,43.501684
-8.0,13,43.514649
-76.0,21,43.539587
-7.0,12,43.551548
16.0,9,43.561522
-42.0,17,43.579472
-99.0,24,43.605406
-19.0,14,43.621329
-86.0,21,43.644267
24.0,11,43.656236
-33.0,18,43.677179
-16.0,11,43.68815
-43.0,18,43.709128
8.0,7,43.716074
-78.0,23,43.744002
-33.0,18,43.76398
-29.0,14,43.780902
-72.0,17,43.797889
-18.0,13,43.81285
-109.0,24,43.838747
-37.0,12,43.85075
4.0,11,43.862717
-42.0,17,43.882664
-55.0,20,43.904571
-76.0,21,43.926546
13.0,12,43.93848
-11.0,16,43.958459
-110.0,25,43.986407
-23.0,18,44.004339
14.0,11,44.015309
-43.0,18,44.036253
-41.0,16,44.053208
-25.0,20,44.075149
25.0,10,44.08614
-139.0,24,44.113049
-57.0,22,44.136985
-79.0,24,44.163912
-120.0,25,44.190839
-19.0,14,44.206796
-33.0,18,44.227741
-76.0,21,44.25068
-39.0,14,44.266644
-88.0,23,44.289574
-48.0,13,44.305532
-87.0,22,44.328478
-74.0,19,44.349415
-23.0,18,44.370359
-28.0,13,44.383324
-6.0,11,44.394296
-53.0,18,44.41524
-30.0,15,44.431197
-139.0,24,44.458125
-9.0,14,44.474083
-56.0,21,44.496025
-99.0,24,44.522918
-42.0,17,44.540876
-30.0,15,44.557858
-65.0,20,44.5798
-22.0,17,44.596755
-64.0,19,44.618696
-88.0,23,44.644626
-34.0,19,44.66557
-10.0,15,44.681494
15.0,10,44.692498
18.0,7,44.699479
-7.0,12,44.711414
-24.0,19,44.732375
-30.0,15,44.75031
-48.0,23,44.776273
5.0,10,44.787268
-22.0,17,44.805197
-95.0,20,44.827138
16.0,9,44.837111
-88.0,23,44.864007
4.0,11,44.87501
-18.0,13,44.887975
3.0,12,44.902937
-11.0,16,44.91989
-22.0,17,44.936811
-98.0,23,44.963773
-8.0,13,44.978733
32.0,3,44.980732
30.0,5,44.986714
-54.0,19,45.007656
-126.0,21,45.030596
-65.0,20,45.052535
-87.0,22,45.077467
-57.0,22,45.100406
-72.0,17,45.118361
-21.0,16,45.137275
-59.0,24,45.162242
6.0,9,45.172215
-33.0,18,45.19317
-43.0,18,45.211111
-53.0,18,45.232056
-38.0,23,45.257986
-44.0,19,45.275938
-118.0,23,45.315836
-31.0,16,45.331793
-20.0,15,45.348723
20.0,5,45.353729
-61.0,16,45.372761
16.0,9,45.384647
-19.0,14,45.400605
-137.0,22,45.424542
-68.0,23,45.451468
5.0,10,45.463436
-99.0,24,45.492359
-29.0,14,45.509315
14.0,11,45.520287
-42.0,17,45.537205
1.0,14,45.553198
28.0,7,45.559182
-78.0,23,45.583116
-106.0,21,45.605059
-54.0,19,45.626004
-41.0,16,45.642923
-34.0,19,45.663867
-3.0,18,45.683813
-19.0,14,45.696779
-31.0,16,45.716725
28.0,7,45.723707
-54.0,19,45.745648
-95.0,20,45.769585
-42.0,17,45.788535
-23.0,18,45.809479
9.0,6,45.81646
-130.0,25,45.84638
-44.0,19,45.868322
0.0,15,45.886274
-42.0,17,45.905223
4.0,11,45.917191
-99.0,24,45.946114
-96.0,21,45.97005
-30.0,15,45.988002
-55.0,20,46.01094
3.0,12,46.0259
-75.0,20,46.049836
-27.0,12,46.062802
-34.0,19,46.08574
11.0,14,46.102695
-28.0,13,46.11566
-140.0,25,46.14558
-107.0,22,46.172508
-23.0,18,46.192455
-32.0,17,46.214396
-108.0,23,46.23933
-53.0,18,46.261271
-20.0,15,46.279223
-20.0,15,46.298172
-109.0,24,46.328092
-3.0,18,46.348039
6.0,9,46.360007
16.0,9,46.371975
-117.0,22,46.397906
-128.0,23,46.425831
-37.0,12,46.439794
-87.0,22,46.466722
-19.0,14,46.483676
21.0,4,46.486668
-88.0,23,46.514594
-14.0,19,46.537532
25.0,10,46.548503
-96.0,21,46.573436
-39.0,14,46.590391
-140.0,25,46.619313
-32.0,17,46.638263
29.0,6,46.645244
-64.0,19,46.667186
-12.0,17,46.689127
-98.0,23,46.71406
-31.0,16,46.732012
17.0,8,46.742984
-75.0,20,46.766919
-19.0,14,46.783874
-72.0,17,46.802823
-65.0,20,46.826759
-56.0,21,46.850695
-97.0,22,46.877623
-35.0,20,46.901559
12.0,13,46.914524
26.0,9,46.926492
18.0,7,46.935468
-8.0,13,46.952423
28.0,7,46.966384
-77.0,22,46.992316
-52.0,17,47.011266
-67.0,22,47.038194
15.0,10,47.050162
-83.0,18,47.069111
-19.0,14,47.087064
-99.0,24,47.114988
26.0,9,47.125959
-9.0,14,47.142914
-20.0,15,47.160866
-110.0,25,47.189788
-23.0,18,47.208738
-28.0,13,47.225692
-76.0,21,47.249628
-52.0,17,47.268578
-68.0,23,47.296503
9.0,16,47.314455
5.0,10,47.326423
-138.0,23,47.354348
-21.0,16,47.372301
0.0,15,47.390252
17.0,8,47.400226
-79.0,24,47.426156
-6.0,11,47.441116
-8.0,13,47.455079
-76.0,21,47.479015
-160.0,25,47.508935
-68.0,23,47.535863
