#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-109.0,24,5.83935
17.0,8,5.847328
-19.0,14,5.863285
-32.0,17,5.882235
-66.0,21,5.908165
10.0,15,5.92512
-120.0,25,5.954043
6.0,9,5.962021
-120.0,25,5.990944
-41.0,16,6.010891
-100.0,25,6.039814
-27.0,12,6.052778
-22.0,17,6.070731
-29.0,14,6.087685
-75.0,20,6.110624
-88.0,23,6.137552
0.0,15,6.154507
-79.0,24,6.182432
-87.0,22,6.206368
-1.0,16,6.22432
-90.0,25,6.253243
-34.0,19,6.275184
-66.0,21,6.29912
-108.0,23,6.326048
-89.0,24,6.353974
15.0,10,6.365941
-128.0,23,6.390875
-89.0,24,6.4188
-40.0,15,6.435755
-118.0,23,6.46368
-31.0,16,6.480635
-76.0,21,6.504571
-67.0,22,6.528507
-88.0,23,6.555434
-109.0,24,6.58336
-43.0,18,6.602309
-76.0,21,6.62824
-9.0,14,6.642203
28.0,7,6.652176
-110.0,25,6.681099
-72.0,17,6.700048
-120.0,25,6.727974
-87.0,22,6.758891
-89.0,24,6.784822
-43.0,18,6.805765
-33.0,18,6.827707
-43.0,18,6.846656
-12.0,17,6.8676
-65.0,20,6.890539
-110.0,25,6.919462
-32.0,17,6.938411
-46.0,21,6.962347
-31.0,16,6.980299
-8.0,13,6.996256
-97.0,22,7.020192
-64.0,19,7.043131
-29.0,14,7.060086
-108.0,23,7.087013
-120.0,25,7.115936
-52.0,17,7.133888
-130.0,25,7.162811
-108.0,23,7.189739
-67.0,22,7.213675
-119.0,24,7.2416
-67.0,22,7.265536
-79.0,24,7.293462
-118.0,23,7.321387
-76.0,21,7.345323
2.0,13,7.358288
-7.0,12,7.373248
-37.0,22,7.397184
-88.0,23,7.42511
-110.0,25,7.453035
-67.0,22,7.477968
15.0,10,7.488939
-44.0,19,7.511878
-100.0,25,7.539803
-34.0,19,7.561744
-87.0,22,7.58568
-20.0,15,7.603632
-87.0,22,7.63056
-33.0,18,7.64951
17.0,8,7.66048
-96.0,21,7.683419
-108.0,23,7.711344
-75.0,20,7.734283
-33.0,18,7.753264
-63.0,18,7.773212
-89.0,24,7.798145
-64.0,19,7.815105
-67.0,22,7.839998
-83.0,18,7.856986
-97.0,22,7.880924
-66.0,21,7.901868
-66.0,21,7.923809
-20.0,15,7.939769
-130.0,25,7.965703
-8.0,13,7.980658
-88.0,23,8.005557
18.0,7,8.014566
-107.0,22,8.038502
-97.0,22,8.065397
-55.0,20,8.088368
26.0,9,8.097351
-54.0,19,8.119286
-51.0,16,8.137249
5.0,10,8.149206
-41.0,16,8.169154
13.0,12,8.182118
-120.0,25,8.212039
-108.0,23,8.239971
-15.0,10,8.251897
-86.0,21,8.275868
-31.0,16,8.294817
-86.0,21,8.318752
-85.0,20,8.341692
-44.0,19,8.364629
-98.0,23,8.392557
-7.0,12,8.405488
-20.0,15,8.423445
-55.0,20,8.446378
-45.0,20,8.470348
-110.0,25,8.503225
-78.0,23,8.534178
-76.0,21,8.555121
-48.0,23,8.577063
-35.0,20,8.598006
-32.0,17,8.617953
-35.0,20,8.6379
-19.0,14,8.652861
-86.0,21,8.675799
-20.0,15,8.690724
-87.0,22,8.712699
-27.0,12,8.726662
-78.0,23,8.752591
0.0,15,8.768549
-57.0,22,8.793484
-53.0,18,8.810438
-42.0,17,8.829388
-27.0,12,8.841355
-90.0,25,8.867285
-100.0,25,8.892219
-29.0,14,8.907179
-42.0,17,8.924101
-120.0,25,8.950064
-54.0,19,8.971008
-85.0,20,8.991919
-31.0,16,9.00791
-8.0,13,9.022876
-108.0,23,9.045809
-43.0,18,9.065758
-86.0,21,9.087697
14.0,11,9.098668
-119.0,24,9.124598
-77.0,22,9.14953
-128.0,23,9.17247
-11.0,16,9.188393
-76.0,21,9.213362
-56.0,21,9.234306
-65.0,20,9.256212
-22.0,17,9.273201
-140.0,25,9.299131
-17.0,12,9.314106
-79.0,24,9.336034
-56.0,21,9.35997
-65.0,20,9.379916
15.0,10,9.38989
-85.0,20,9.410832
-64.0,19,9.427793
-47.0,22,9.451723
-97.0,22,9.474662
-42.0,17,9.493613
-50.0,15,9.50957
-63.0,18,9.527522
-11.0,16,9.543479
